pair_name,pair_1,pair_2,beta,diff,end_cash,high_sigma,low_sigma,lag
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,2486.6639526681643,3,-1,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,2462.5228947901296,2,-3,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,2386.318487252205,4,-1,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,2216.1276001113224,3,-3,300
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,2139.9610618331308,4,-1,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,1887.4627839116097,2,-2,72
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1834.7217362958822,3,-2,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1820.064439014386,2,-1,72
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1786.6288312332551,1,-2,72
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,1694.9934945528246,3,-3,500
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,1690.9747820733655,2,-3,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1658.2075177517227,3,-2,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1612.1374330415147,3,-4,500
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,1555.5216224963644,2,-4,72
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1552.3376458362725,4,-3,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1519.8788452902572,4,-1,300
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,1398.4139029872865,4,-2,72
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1386.5119959145215,2,-3,700
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1342.1117288680805,3,-1,500
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1330.5228790401377,2,-2,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,1299.7976418092737,1,-3,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1297.9289967274417,3,-2,72
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,1291.7999605564478,3,-4,300
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1266.8103875736952,1,-1,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,1245.8181566166502,2,-2,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,1244.2494291042053,2,-4,500
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,1208.4577836195986,4,-3,700
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1169.0846577719813,4,-3,500
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,1150.477577947585,4,-2,300
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,1149.5269046859028,4,-1,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1138.0540772256159,4,-2,500
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,1105.5839026610702,3,-4,300
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1102.142512673554,4,-3,700
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1083.789903656069,3,-3,500
XMR/UNI,XMRUSD,UNIUSD,12.621776456556798,-0.7008694859957951,1081.6642133449902,4,-3,72
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,1071.0810361685071,4,-4,72
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,1055.8917845192834,3,-2,72
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1049.2534785764556,3,-4,700
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,1047.0355228196036,3,-2,300
AAVE/XLM,AAVEUSD,XLMUSD,824.6207944381999,-2.261462262827941,1034.4671916128334,3,-4,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,1015.1823573143523,3,-1,72
AVAX/SOL,AVAXUSD,SOLUSD,0.2436604206667033,-0.0403604114066524,1003.8430432413472,4,-4,500
LTC/AAVE,LTCUSD,AAVEUSD,0.5700140756295089,-0.6082084463267083,982.3020748726875,2,-2,500
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,906.1224623993124,3,-3,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,897.131509376818,3,-4,500
XLM/AAVE,XLMUSD,AAVEUSD,0.0011540617622239,-2.217462131673629,883.0807434262279,4,-3,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,872.1474442004371,2,-1,300
NEAR/SHIB,NEARUSD,SHIBUSD,255921.29738542784,-0.2348603515693175,855.1172310062123,2,-4,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,849.4859620951729,4,-2,300
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,841.2160609369187,4,-3,300
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,837.0016643189504,4,-4,500
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,826.211561669167,1,-2,500
